beat_timing,generate_A_type,A_generate_side,A_generate_amount,generate_B_type,B_generate_side,B_generate_amount,
1,TRUE,"2,4,6,8",1,FALSE,null,null,
2,TRUE,"2,4,6,8",1,FALSE,null,null,
3,TRUE,"2,4,6,8",1,FALSE,null,null,
4,TRUE,"2,4,6,8",1,FALSE,null,null,
5,TRUE,"2,4,6,8",1,FALSE,null,null,
6,TRUE,"2,4,6,8",1,FALSE,null,null,
7,TRUE,"2,4,6,8",1,FALSE,null,null,
8,TRUE,"2,4,6,8",1,FALSE,null,null,
9,TRUE,"2,4,6,8",1,FALSE,null,null,
10,TRUE,"2,4,6,8",1,FALSE,null,null,
11,TRUE,"2,4,6,8",1,FALSE,null,null,
12,TRUE,"2,4,6,8",1,FALSE,null,null,
13,TRUE,"2,4,6,8",1,FALSE,null,null,
14,TRUE,"2,4,6,8",1,FALSE,null,null,
15,TRUE,"2,4,6,8",1,FALSE,null,null,
16,TRUE,"2,4,6,8",1,FALSE,null,null,
17,FALSE,null,null,TRUE,"2,4,6,8",1,
18,FALSE,null,null,TRUE,"2,4,6,8",1,
19,FALSE,null,null,TRUE,"2,4,6,8",1,
20,FALSE,null,null,TRUE,"2,4,6,8",1,
21,FALSE,null,null,TRUE,"2,4,6,8",1,
22,FALSE,null,null,TRUE,"2,4,6,8",1,
23,FALSE,null,null,TRUE,"2,4,6,8",1,
24,FALSE,null,null,TRUE,"2,4,6,8",1,
25,FALSE,null,null,TRUE,"2,4,6,8",1,
26,FALSE,null,null,TRUE,"2,4,6,8",1,
27,FALSE,null,null,TRUE,"2,4,6,8",1,
28,FALSE,null,null,TRUE,"2,4,6,8",1,
29,FALSE,null,null,TRUE,"2,4,6,8",1,
30,FALSE,null,null,TRUE,"2,4,6,8",1,
31,FALSE,null,null,TRUE,"2,4,6,8",1,
32,FALSE,null,null,TRUE,"2,4,6,8",1,
33,TRUE,"2,8",1,TRUE,"4,6",1,
34,TRUE,"2,8",1,TRUE,"4,6",1,
35,TRUE,"2,8",1,TRUE,"4,6",1,
36,TRUE,"2,8",1,TRUE,"4,6",1,
37,TRUE,"2,8",1,TRUE,"4,6",1,
38,TRUE,"2,8",1,TRUE,"4,6",1,
39,TRUE,"2,8",1,TRUE,"4,6",1,
40,TRUE,"2,8",1,TRUE,"4,6",1,
41,TRUE,"2,8",1,TRUE,"4,6",1,
42,TRUE,"2,8",1,TRUE,"4,6",1,
43,TRUE,"2,8",1,TRUE,"4,6",1,
44,TRUE,"2,8",1,TRUE,"4,6",1,
45,TRUE,"2,8",1,TRUE,"4,6",1,
46,TRUE,"2,8",1,TRUE,"4,6",1,
47,TRUE,"2,8",1,TRUE,"4,6",1,
48,TRUE,"2,8",1,TRUE,"4,6",1,
49,TRUE,"2,8",1,TRUE,"4,6",1,
50,TRUE,"2,8",1,TRUE,"4,6",1,
51,TRUE,"2,8",1,TRUE,"4,6",1,
52,TRUE,"2,8",1,TRUE,"4,6",1,
53,TRUE,"2,8",1,TRUE,"4,6",1,
54,TRUE,"2,8",1,TRUE,"4,6",1,
55,TRUE,"2,8",1,TRUE,"4,6",1,
56,TRUE,"2,8",1,TRUE,"4,6",1,
57,TRUE,"2,8",1,TRUE,"4,6",1,
58,TRUE,"2,8",1,TRUE,"4,6",1,
59,TRUE,"2,8",1,TRUE,"4,6",1,
60,TRUE,"2,8",1,TRUE,"4,6",1,
61,TRUE,"2,8",1,TRUE,"4,6",1,
62,TRUE,"2,8",1,TRUE,"4,6",1,
63,TRUE,"2,8",1,TRUE,"4,6",1,
64,TRUE,"2,8",1,TRUE,"4,6",1,
65,TRUE,"2,4,6,8",1,FALSE,null,null,
